State,County,TotalCases,TotalDeaths,Dec2020Cases,Dec2020Deaths
Washington,Snohomish,3541237,79804.0,614421,10640.0
Illinois,Cook,61922231,1737922.0,11075658,232953.0
California,Orange,23445852,367878.0,3642913,53311.0
Arizona,Maricopa,52687369,969212.0,8277933,140051.0
California,Los Angeles,113447043,2122011.0,17784563,268598.0
California,Santa Clara,9548864,138941.0,1597907,17747.0
Massachusetts,Suffolk,10024082,347845.0,1429342,40577.0
California,San Francisco,3816784,38425.0,600937,5318.0
Wisconsin,Dane,4589619,26310.0,986541,4340.0
California,San Diego,22162640,289663.0,3612609,38017.0
Texas,Bexar,19230919,326477.0,3043189,49732.0
Nebraska,Douglas,7434285,74655.0,1484106,13653.0
California,Humboldt,245713,2934.0,41318,424.0
California,Sacramento,8880601,137287.0,1612461,22195.0
California,Solano,2714124,18726.0,450218,2826.0
Washington,Spokane,3473755,58825.0,687208,9847.0
Utah,Salt Lake,14935876,90897.0,2956711,15022.0
California,Marin,1845944,28309.0,271608,4157.0
California,Napa,781627,5277.0,137733,724.0
California,Sonoma,2782962,32568.0,486353,5274.0
Oregon,Washington,2157339,22455.0,424620,3860.0
Washington,King,9603566,252629.0,1700747,29690.0
California,Alameda,7863819,121293.0,1247644,17659.0
Florida,Hillsborough,13123626,188292.0,2092096,31236.0
Florida,Manatee,3732092,84097.0,604096,12399.0
New York,New York City,95289877,7340131.0,11535386,763514.0
Rhode Island,Unknown,1580587,17154.0,328766,2845.0
California,Placer,1733930,19268.0,315937,3042.0
California,San Mateo,3787944,51351.0,597811,5929.0
Georgia,Fulton,9516183,166723.0,1512931,23306.0
Massachusetts,Norfolk,4873939,326499.0,672657,38189.0
New Hampshire,Grafton,152164,1060.0,26823,167.0
Washington,Walla Walla,454393,4649.0,90143,950.0
California,Contra Costa,6047298,65587.0,1003476,9012.0
North Carolina,Wake,7054368,65563.0,1145804,10027.0
New Jersey,Bergen,9592326,621352.0,1294036,68918.0
New York,Westchester,15058681,480437.0,1874235,49124.0
Texas,Fort Bend,5669212,73146.0,949363,11117.0
Washington,Chelan,730592,6564.0,138235,1022.0
Colorado,Douglas,1949382,28817.0,432528,4788.0
Colorado,Jefferson,3745466,103776.0,808520,17193.0
Florida,Santa Rosa,1759933,23453.0,285748,3512.0
Maryland,Montgomery,8209652,262410.0,1246833,32229.0
Massachusetts,Middlesex,12813998,663852.0,1904517,79440.0
Nevada,Clark,25142002,423373.0,4515743,63956.0
Nevada,Washoe,4632497,69362.0,971285,11939.0
New York,Nassau,18863095,755090.0,2275253,71735.0
Tennessee,Williamson,2447616,18121.0,454196,3199.0
Texas,Harris,41076342,643342.0,6611041,98946.0
Arizona,Pinal,4314875,68742.0,693364,9649.0
California,Yolo,1166440,19894.0,202682,2993.0
Colorado,Denver,6796241,144144.0,1341669,19177.0
Colorado,Eagle,552960,3429.0,90364,391.0
Colorado,El Paso,4939356,81723.0,1115697,13785.0
Florida,Broward,23673888,359625.0,3812073,54434.0
Florida,Lee,6770388,129306.0,1099390,19381.0
Georgia,Polk,529974,6957.0,90363,1235.0
Hawaii,Honolulu,2888744,36222.0,518685,6527.0
Indiana,Marion,10173317,272408.0,1861725,32897.0
Kentucky,Fayette,3305137,25779.0,646931,4427.0
Minnesota,Ramsey,5057550,114135.0,1050394,18637.0
New Jersey,Camden,4734237,186984.0,758474,23041.0
New York,Rockland,5935457,160121.0,762020,17166.0
North Carolina,Chatham,551319,15842.0,81559,2015.0
Oklahoma,Tulsa,6920826,65338.0,1272937,10200.0
Pennsylvania,Delaware,4809301,240623.0,778838,28294.0
Pennsylvania,Wayne,209877,4677.0,35448,451.0
South Carolina,Charleston,4529730,63356.0,683283,9572.0
South Carolina,Kershaw,684908,13434.0,105491,2185.0
Utah,Davis,3160689,12857.0,648943,2331.0
Utah,Washington,1898419,15354.0,384282,2956.0
Washington,Clark,1772518,25558.0,351492,4178.0
Washington,Jefferson,35025,132.0,6091,31.0
Washington,Pierce,3946891,69033.0,725901,9908.0
California,Fresno,9683461,119569.0,1558495,17768.0
California,Madera,1534495,19880.0,256493,3301.0
California,Riverside,25898035,379800.0,4090231,51802.0
California,Santa Cruz,1177815,10895.0,200463,1877.0
District of Columbia,District of Columbia,5442472,191874.0,790037,22570.0
Florida,Charlotte,1136341,44156.0,193732,6591.0
Florida,Okaloosa,1888256,33594.0,341447,6034.0
Florida,Volusia,3653237,74913.0,596577,12385.0
Georgia,Cobb,7141644,124980.0,1143095,16812.0
Georgia,Gwinnett,9622461,118097.0,1501830,17617.0
Kansas,Johnson,5197153,67303.0,1039124,11286.0
Massachusetts,Berkshire,445495,24036.0,71557,3220.0
Missouri,St. Louis,9927757,266413.0,1907130,37500.0
New Hampshire,Rockingham,1446920,32468.0,252476,3815.0
New York,Saratoga,804401,8213.0,116941,841.0
Oregon,Jackson,713288,7221.0,154535,1655.0
Oregon,Klamath,224256,2857.0,45118,373.0
Pennsylvania,Montgomery,5645911,278185.0,914475,32030.0
Vermont,Bennington,81474,517.0,10550,50.0
Virginia,Fairfax,7794983,168224.0,1168608,20081.0
Washington,Kittitas,230035,4960.0,43412,722.0
Connecticut,Fairfield,9463333,450008.0,1502231,50062.0
Georgia,Cherokee,2490180,28150.0,416191,3811.0
Indiana,Hendricks,1541016,47456.0,290537,6299.0
Iowa,Johnson,1681695,8481.0,323545,1346.0
Kentucky,Harrison,114613,307.0,19145,31.0
Kentucky,Jefferson,7412254,118408.0,1434906,18146.0
Maryland,Harford,1277876,28526.0,229202,3969.0
Massachusetts,Worcester,6963099,345339.0,1051476,42925.0
Minnesota,Carver,786706,3632.0,182644,754.0
New Jersey,Passaic,7867633,376740.0,1117979,42861.0
New York,Suffolk,19502268,646666.0,2415999,66770.0
New York,Ulster,1028640,27951.0,141344,3698.0
Oregon,Douglas,174952,3983.0,37590,964.0
Oregon,Marion,1974030,34089.0,365801,5720.0
South Carolina,Spartanburg,2957873,64465.0,501941,10290.0
Tennessee,Davidson,10601286,98131.0,1794013,15179.0
Tennessee,Shelby,10743462,159867.0,1799350,24084.0
Washington,Kitsap,539385,6542.0,100249,1042.0
Arizona,Pima,10276218,207439.0,1706150,26430.0
California,Shasta,912412,11954.0,210454,1933.0
Colorado,Arapahoe,5265499,126255.0,1052030,16254.0
Colorado,Larimer,1817993,21805.0,409577,3209.0
Georgia,DeKalb,6448178,104623.0,1020561,15422.0
Georgia,Fayette,736571,14862.0,125321,2101.0
Georgia,Floyd,1142040,18338.0,206290,3281.0
Indiana,Noble,525030,11665.0,108226,1669.0
Iowa,Pottawattamie,1085250,14609.0,233976,2531.0
Louisiana,Jefferson,5999568,177799.0,849116,20058.0
Maryland,Prince George's,10157699,250365.0,1504664,31248.0
New Jersey,Hudson,8866348,457731.0,1188208,50945.0
New Jersey,Monmouth,5678243,265258.0,821977,29736.0
New Jersey,Union,7590413,411473.0,1027102,46211.0
Ohio,Cuyahoga,9179728,192353.0,1782394,25795.0
Pennsylvania,Monroe,957378,43634.0,150300,5472.0
Texas,Collin,6722298,60125.0,1153833,9676.0
Virginia,Virginia Beach city,2662235,27351.0,421496,4019.0
Wisconsin,Pierce,412622,3678.0,98721,871.0
California,San Joaquin,6830174,115304.0,1085784,17494.0
California,Ventura,5976669,54973.0,888105,6538.0
Colorado,Gunnison,127555,1979.0,17896,190.0
Florida,Alachua,2544160,19787.0,445187,3469.0
Florida,Collier,3942190,62115.0,628493,9627.0
Florida,Nassau,738523,11023.0,121456,1939.0
Florida,Pasco,3369118,63256.0,572894,10134.0
Florida,Pinellas,7444776,197167.0,1205791,30205.0
Georgia,Charlton,174397,2922.0,28344,585.0
Illinois,Kane,6107631,114898.0,1162100,16876.0
Illinois,McHenry,2578392,42293.0,526683,5872.0
Indiana,Adams,290788,4051.0,71454,910.0
Indiana,Boone,583919,16108.0,113430,1869.0
Louisiana,Orleans,4299645,185785.0,568816,20503.0
Massachusetts,Essex,9397516,399357.0,1470309,48426.0
Michigan,Oakland,9278759,394160.0,1722771,46650.0
Michigan,Wayne,14268621,932826.0,2396780,106980.0
Minnesota,Anoka,3600185,52312.0,827750,8522.0
New Jersey,Burlington,3509760,146912.0,546469,17952.0
Oregon,Multnomah,3374737,58787.0,680418,10244.0
Pennsylvania,Philadelphia,15407673,572854.0,2557843,69716.0
South Dakota,Beadle,369896,5087.0,75255,1016.0
South Dakota,Charles Mix,133948,1135.0,31878,277.0
South Dakota,Davison,314354,5487.0,80315,1531.0
South Dakota,Minnehaha,3528393,38793.0,719803,7189.0
Tennessee,Sullivan,1297930,21483.0,274810,4493.0
Texas,Dallas,30432728,358317.0,5127468,54939.0
Texas,Montgomery,4144996,47215.0,681332,7332.0
Texas,Tarrant,22136358,253069.0,3861596,38512.0
Utah,Weber,2482007,13958.0,505433,2369.0
Virginia,Loudoun,2496450,35820.0,376223,4729.0
Washington,Skagit,484594,8190.0,83526,1021.0
Washington,Whatcom,588618,16066.0,92722,1801.0
Arkansas,Jefferson,1041824,22928.0,184237,3710.0
California,Stanislaus,5674001,99760.0,949321,15638.0
Colorado,Pitkin,150853,777.0,23527,76.0
Delaware,New Castle,4784200,98418.0,841184,12885.0
Florida,Miami-Dade,51321905,823839.0,8210361,124555.0
Florida,St. Johns,1994410,20332.0,336056,3280.0
Georgia,Bartow,1207699,26164.0,202007,3513.0
Georgia,Lee,283610,8844.0,38290,1023.0
Georgia,Lowndes,1383999,23128.0,230929,4077.0
Illinois,Lake,7389721,163709.0,1357485,22704.0
Indiana,Howard,829124,23402.0,169774,3074.0
Indiana,Johnson,1562995,51108.0,307793,6533.0
Indiana,St. Joseph,3223218,54330.0,677651,9635.0
Louisiana,Caddo,3030642,109957.0,485144,14891.0
Maryland,Baltimore,6381173,196935.0,1068669,25977.0
Minnesota,Olmsted,1257150,10003.0,254708,1443.0
Mississippi,Forrest,854171,21416.0,142088,2861.0
New Jersey,Middlesex,8553742,429939.0,1189188,48754.0
