State,County,TotalPop
Alabama,Autauga County,55036
Alabama,Baldwin County,203360
Alabama,Barbour County,26201
Alabama,Bibb County,22580
Alabama,Blount County,57667
Alabama,Bullock County,10478
Alabama,Butler County,20126
Alabama,Calhoun County,115527
Alabama,Chambers County,33895
Alabama,Cherokee County,25855
Alabama,Chilton County,43805
Alabama,Choctaw County,13188
Alabama,Clarke County,24625
Alabama,Clay County,13407
Alabama,Cleburne County,14939
Alabama,Coffee County,51073
Alabama,Colbert County,54435
Alabama,Conecuh County,12649
Alabama,Coosa County,10955
Alabama,Covington County,37519
Alabama,Crenshaw County,13866
Alabama,Cullman County,81703
Alabama,Dale County,49393
Alabama,Dallas County,40755
Alabama,DeKalb County,71194
Alabama,Elmore County,80989
Alabama,Escambia County,37621
Alabama,Etowah County,103132
Alabama,Fayette County,16657
Alabama,Franklin County,31507
Alabama,Geneva County,26572
Alabama,Greene County,8533
Alabama,Hale County,14995
Alabama,Henry County,17110
Alabama,Houston County,104108
Alabama,Jackson County,52326
Alabama,Jefferson County,659460
Alabama,Lamar County,14021
Alabama,Lauderdale County,92590
Alabama,Lawrence County,33288
Alabama,Lee County,156597
Alabama,Limestone County,91695
Alabama,Lowndes County,10362
Alabama,Macon County,19358
Alabama,Madison County,353213
Alabama,Marengo County,19743
Alabama,Marion County,30058
Alabama,Marshall County,94738
Alabama,Mobile County,414328
Alabama,Monroe County,21745
Alabama,Montgomery County,227120
Alabama,Morgan County,119157
Alabama,Perry County,9680
Alabama,Pickens County,20170
Alabama,Pike County,33287
Alabama,Randolph County,22530
Alabama,Russell County,58480
Alabama,St. Clair County,86937
Alabama,Shelby County,208721
Alabama,Sumter County,13084
Alabama,Talladega County,80888
Alabama,Tallapoosa County,40756
Alabama,Tuscaloosa County,204424
Alabama,Walker County,64927
Alabama,Washington County,16746
Alabama,Wilcox County,10919
Alabama,Winston County,23968
Alaska,Aleutians East Borough,3338
Alaska,Aleutians West Census Area,5784
Alaska,Anchorage Municipality,298225
Alaska,Bethel Census Area,17957
Alaska,Bristol Bay Borough,917
Alaska,Denali Borough,2303
Alaska,Dillingham Census Area,4974
Alaska,Fairbanks North Star Borough,100031
Alaska,Haines Borough,2537
Alaska,Hoonah-Angoon Census Area,2146
Alaska,Juneau City and Borough,32434
Alaska,Kenai Peninsula Borough,57961
Alaska,Ketchikan Gateway Borough,13745
Alaska,Kodiak Island Borough,13773
Alaska,Kusilvak Census Area,8129
Alaska,Lake and Peninsula Borough,1301
Alaska,Matanuska-Susitna Borough,101135
Alaska,Nome Census Area,9869
Alaska,North Slope Borough,9757
Alaska,Northwest Arctic Borough,7715
Alaska,Petersburg Borough,3275
Alaska,Prince of Wales-Hyder Census Area,6473
Alaska,Sitka City and Borough,8810
Alaska,Skagway Municipality,1038
Alaska,Southeast Fairbanks Census Area,6889
Alaska,Valdez-Cordova Census Area,9439
Alaska,Wrangell City and Borough,2475
Alaska,Yakutat City and Borough,682
Alaska,Yukon-Koyukuk Census Area,5453
Arizona,Apache County,71602
Arizona,Cochise County,126516
Arizona,Coconino County,138639
Arizona,Gila County,53145
Arizona,Graham County,37700
Arizona,Greenlee County,9368
Arizona,La Paz County,20477
Arizona,Maricopa County,4155501
Arizona,Mohave County,204691
Arizona,Navajo County,107902
Arizona,Pima County,1007257
Arizona,Pinal County,405537
Arizona,Santa Cruz County,46358
Arizona,Yavapai County,220972
Arizona,Yuma County,204281
Arkansas,Arkansas County,18352
Arkansas,Ashley County,20771
Arkansas,Baxter County,41093
Arkansas,Benton County,251823
Arkansas,Boone County,37212
Arkansas,Bradley County,10994
Arkansas,Calhoun County,5194
Arkansas,Carroll County,27782
Arkansas,Chicot County,11008
Arkansas,Clark County,22495
Arkansas,Clay County,15190
Arkansas,Cleburne County,25361
Arkansas,Cleveland County,8332
Arkansas,Columbia County,23992
Arkansas,Conway County,20954
Arkansas,Craighead County,104246
Arkansas,Crawford County,62119
Arkansas,Crittenden County,49278
Arkansas,Cross County,17164
Arkansas,Dallas County,7585
Arkansas,Desha County,12094
Arkansas,Drew County,18620
Arkansas,Faulkner County,121282
Arkansas,Franklin County,17803
Arkansas,Fulton County,12092
Arkansas,Garland County,97994
Arkansas,Grant County,18076
Arkansas,Greene County,44197
Arkansas,Hempstead County,22154
Arkansas,Hot Spring County,33480
Arkansas,Howard County,13472
Arkansas,Independence County,37097
Arkansas,Izard County,13521
Arkansas,Jackson County,17429
Arkansas,Jefferson County,71373
Arkansas,Johnson County,26155
Arkansas,Lafayette County,7051
Arkansas,Lawrence County,16777
