State,County,TotalCases,TotalDeaths,Dec2020Cases,Dec2020Deaths
Oregon,Washington,2157339,22455.0,424620,3860.0
Oregon,Jackson,713288,7221.0,154535,1655.0
Oregon,Klamath,224256,2857.0,45118,373.0
Oregon,Douglas,174952,3983.0,37590,964.0
Oregon,Marion,1974030,34089.0,365801,5720.0
Oregon,Multnomah,3374737,58787.0,680418,10244.0
Oregon,Deschutes,509974,4141.0,102490,563.0
Oregon,Linn,324636,5949.0,66702,891.0
Oregon,Polk,268036,5480.0,50986,743.0
Oregon,Umatilla,933975,10661.0,154995,1645.0
Oregon,Clackamas,1284402,20040.0,261810,3125.0
Oregon,Yamhill,356425,6010.0,69481,812.0
Oregon,Benton,180225,2304.0,34260,278.0
Oregon,Lane,850956,10372.0,178816,2215.0
Oregon,Grant,18551,94.0,4895,31.0
Oregon,Union,161223,1533.0,28227,338.0
Oregon,Josephine,153675,2638.0,27180,407.0
Oregon,Hood River,107383,1444.0,19348,216.0
Oregon,Clatsop,77666,287.0,14439,47.0
Oregon,Lincoln,153979,3117.0,24041,502.0
Oregon,Tillamook,34370,92.0,6850,0.0
Oregon,Wasco,121202,3039.0,22511,621.0
Oregon,Columbia,105324,1363.0,21459,266.0
Oregon,Morrow,139209,1447.0,23219,227.0
Oregon,Malheur,453634,7770.0,82916,1465.0
Oregon,Wallowa,13017,449.0,2306,93.0
Oregon,Crook,55863,1134.0,11048,196.0
Oregon,Sherman,5807,0.0,855,0.0
Oregon,Curry,30045,393.0,6741,72.0
Oregon,Coos,100097,969.0,18806,151.0
Oregon,Jefferson,200346,2630.0,36278,409.0
Oregon,Harney,17024,291.0,3717,34.0
Oregon,Baker,55586,663.0,11688,133.0
Oregon,Lake,25357,348.0,5358,76.0
Oregon,Gilliam,4691,76.0,898,25.0
Oregon,Wheeler,1454,53.0,359,2.0
Oregon,Unknown,1,0.0,0,0.0
